Sample,Type,schmitt_micrograms,schmitt_ngperg,A,t0
UPS2021-E1,Exhaust,39.88,nm,10.424,3.4082
UPS2021-E2,Exhaust,18.12,nm,7.5284,3.2899
UPS2021-E3,Exhaust,10.76,nm,5.7041,3.5685
UPS2021- E4,Exhaust,13.95,nm,6.5944,3.6408
UPS2020-D1,Dirt,17.24,nm,7.5329,6.9172
UPS2020-D2,Dirt,12.77,nm,6.3432,4.8259
UPS2020-D3,Dirt,8.53,nm,4.9932,4.316
UPS2020-D4,Dirt,3.50,nm,2.6284,3.8206
UPS2020-D5,Dirt,17.41,nm,7.5344,6.5625
UPS2020-D6,Dirt,15.53,nm,7.0082,4.7685
UPS2021-P1,Plant,36.7,490.58,10.169,5.557
UPS2021-P2,Plant,24.9,356.449,8.7256,5.0502
UPS2021-P3,Plant,9.86,219.31,5.4478,5.2586
UPS2021-C1,Fullerene,13.703,137.0328,6.6305,4.3397
UPS2021-C2,Fullerene,16.7644,167.644,7.3488,4.53
UPS2021-C3,Fullerene,5.5228568,55.2286,3.8164,4.405
UPS2021-C4,Fullerene,11.09404,110.9404,5.9145,4.4378
UPS2021-C5,Fullerene,24.65913,246.5913,8.7581,4.4109
UPS2021-C6,Fullerene,12.44252,124.4252,6.2984,4.3452
UPS2021-C7,Fullerene,20.189622,201.89622,7.998,4.2894
UPS2021-C8,Fullerene,23.7788442,237.788442,8.6558,4.3908
UPS2021-C9,Fullerene,7.6708783,76.708783,4.7508,4.5677
UPS2021-C10,Fullerene,12.1913762,121.913762,6.204,4.454
UPS2021-C11,Fullerene,19.256813,192.56813,7.8308,4.2437
UPS2021-C12,Fullerene,20.58739993,205.8739993,8.0907,4.2943
UPS2021-C13,Fullerene,28.2514256,282.514256,9.2627,4.3928
UPS2021-C14,Fullerene,18.0161464,180.161464,7.6072,4.3088
UPS2021-C15,Fullerene,15.979142,159.79142,7.1631,4.143
UPS2021-C16,Fullerene,16.25696,162.5696443,7.2571,4.4736